#(id,length,speed,channel,from,to,isDuplex)
(5000,22,7,4,1,2,1)
(5001,20,2,1,1,11,1)
(5002,19,5,2,2,3,1)
(5003,17,3,2,2,12,1)
(5004,18,4,1,3,4,1)
(5005,16,5,2,3,13,1)
(5006,21,1,3,4,5,1)
(5007,19,8,4,4,14,1)
(5008,12,3,3,5,6,1)
(5009,20,4,4,5,15,1)
(5010,22,3,5,6,7,1)
(5011,22,6,4,6,7,1)
(5012,11,1,4,7,8,1)
(5013,13,6,3,7,17,1)
(5015,24,7,3,8,18,1)
(5016,18,3,1,9,10,1)
(5017,15,4,2,9,19,1)
(5019,11,5,1,10,20,1)
(5020,24,6,1,11,12,1)
(5021,15,1,3,11,21,1)
(5022,23,2,2,12,13,1)
(5023,10,5,3,12,22,1)
(5025,24,3,3,13,23,1)
(5026,17,7,4,14,15,1)
(5027,18,5,4,14,24,1)
(5028,13,1,4,15,16,1)
(5029,14,3,2,15,25,1)
(5030,21,5,3,16,17,1)
(5031,17,4,4,16,26,1)
(5032,19,3,2,17,18,1)
(5033,20,4,5,17,27,1)
(5034,12,3,5,18,19,1)
(5035,12,2,2,18,28,1)
(5036,17,5,3,19,20,1)
(5037,15,6,2,19,29,1)
(5039,24,5,5,20,30,1)
(5040,16,2,1,21,22,1)
(5041,21,2,3,21,31,1)
(5042,19,4,2,22,23,1)
(5043,11,8,3,22,32,1)
(5044,16,2,3,23,24,1)
(5045,18,3,1,23,33,1)
(5046,23,1,5,24,25,1)
(5047,24,5,2,24,34,1)
(5048,10,4,4,5,26,1)
(5049,15,5,4,25,35,1)
(5050,16,6,1,26,27,1)
(5051,20,3,4,26,36,1)
(5052,11,4,2,27,28,1)
(5053,23,4,1,27,37,1)
(5054,11,5,5,28,29,1)
(5055,20,2,1,28,38,1)
(5056,19,5,5,29,30,1)
(5057,21,4,5,29,39,1)
(5059,11,4,1,30,40,1)
(5060,12,8,3,31,32,1)
(5061,12,4,4,31,41,1)
(5062,18,2,5,32,33,1)
(5063,17,6,1,32,42,1)
(5064,18,2,1,33,34,1)
(5065,16,8,4,33,43,1)
(5066,21,2,4,34,35,1)
(5067,23,4,5,34,44,1)
(5069,23,1,1,35,45,1)
(5070,19,1,4,36,37,1)
(5071,16,6,3,36,46,1)
(5072,10,8,5,37,38,1)
(5073,24,3,4,37,47,1)
(5074,14,6,3,38,39,1)
(5075,24,2,1,38,48,1)
(5076,19,3,5,39,40,1)
(5077,24,7,3,39,49,1)
(5079,21,5,5,40,50,1)
(5080,24,5,3,41,42,1)
(5081,18,3,4,41,51,1)
(5082,21,7,1,42,43,1)
(5083,11,6,1,42,52,1)
(5084,23,3,2,43,44,1)
(5085,21,1,1,43,53,1)
(5087,11,5,1,44,54,1)
(5088,24,3,3,45,46,1)
(5089,24,7,3,45,55,1)
(5090,12,5,1,46,47,1)
(5091,20,4,5,46,56,1)
(5092,13,8,4,47,48,1)
(5093,20,2,2,47,57,1)
(5094,20,7,4,48,49,1)
(5095,21,8,4,48,58,1)
(5096,19,5,5,49,50,1)
(5097,13,6,4,49,59,1)
(5099,10,5,2,50,60,1)
(5100,16,5,1,51,52,1)
(5101,17,1,3,51,61,1)
(5102,14,5,1,52,53,1)
(5103,12,8,4,52,62,1)
(5104,19,5,4,53,54,1)
(5105,15,1,5,53,63,1)
(5106,16,4,3,54,55,1)
(5107,22,2,2,54,64,1)
(5108,24,8,2,55,56,1)
(5109,24,2,5,55,65,1)
(5111,13,2,3,56,66,1)
(5112,19,7,3,57,58,1)
(5113,14,1,4,57,67,1)
(5115,24,7,2,58,68,1)
(5116,12,5,3,59,60,1)
(5117,10,2,1,59,69,1)
(5119,18,3,3,60,70,1)
(5120,19,7,4,61,62,1)
(5121,16,2,1,61,71,1)
(5123,14,3,1,62,72,1)
(5124,13,2,5,63,64,1)
(5125,20,3,2,63,73,1)
(5127,20,2,5,64,74,1)
(5128,24,8,2,65,66,1)
(5129,24,2,4,65,75,1)
(5130,14,4,2,66,67,1)
(5131,21,3,3,66,76,1)
(5133,14,1,4,67,77,1)
(5134,13,5,3,68,69,1)
(5135,13,5,4,68,78,1)
(5137,18,6,4,69,79,1)
(5139,19,1,2,70,80,1)
(5140,13,7,1,71,72,1)
(5141,20,2,3,71,81,1)
(5143,17,6,3,72,82,1)
(5146,11,2,3,74,75,1)
(5148,18,1,1,75,76,1)
(5149,18,3,3,75,85,1)
(5151,23,4,3,76,86,1)
(5153,21,5,4,77,87,1)
(5154,14,3,3,78,79,1)
(5155,24,8,2,78,88,1)
(5156,10,5,5,79,80,1)
(5157,24,1,3,79,89,1)
(5159,20,8,5,80,90,1)
(5160,23,5,3,81,82,1)
(5161,19,6,2,81,91,1)
(5162,22,5,3,82,83,1)
(5164,22,7,5,83,84,1)
(5167,22,1,3,84,94,1)
(5168,16,2,4,85,86,1)
(5169,10,7,5,85,95,1)
(5170,12,8,2,86,87,1)
(5171,11,3,5,86,96,1)
(5172,24,2,5,87,88,1)
(5173,18,6,4,87,97,1)
(5174,20,3,3,88,89,1)
(5175,19,7,2,88,98,1)
(5176,13,1,2,89,90,1)
(5177,20,3,5,89,99,1)
(5179,23,8,1,90,100,1)
(5180,12,4,3,91,92,1)
(5182,22,3,3,92,93,1)
(5184,15,3,5,93,94,1)
(5186,23,1,3,94,95,1)
(5188,16,2,2,95,96,1)
(5190,12,4,1,96,97,1)
(5192,18,3,4,97,98,1)
(5194,22,7,3,98,99,1)
(5196,18,4,1,99,100,1)
