#(id,length,speed,channel,from,to,isDuplex)
(5000,24,8,3,1,2,1)
(5001,19,3,1,1,21,1)
(5002,20,1,5,2,3,1)
(5003,19,7,2,2,22,1)
(5004,18,1,1,3,4,1)
(5005,16,2,2,3,23,1)
(5006,20,3,5,4,5,1)
(5007,17,8,2,4,24,1)
(5008,12,7,3,5,6,1)
(5009,16,4,5,5,25,1)
(5010,19,6,4,6,7,1)
(5011,16,1,1,6,26,1)
(5012,21,1,1,7,8,1)
(5013,22,8,2,7,27,1)
(5014,23,4,2,8,9,1)
(5015,12,1,3,8,28,1)
(5016,13,6,5,9,10,1)
(5017,18,4,2,9,29,1)
(5018,23,4,4,10,11,1)
(5019,16,8,5,10,30,1)
(5020,13,2,1,11,12,1)
(5021,22,2,2,11,31,1)
(5022,18,8,1,12,13,1)
(5023,23,1,3,12,32,1)
(5024,20,8,3,13,14,1)
(5025,17,7,2,13,33,1)
(5026,17,2,3,14,15,1)
(5027,18,1,1,14,34,1)
(5028,13,7,1,15,16,1)
(5029,20,3,2,15,35,1)
(5030,16,5,5,16,17,1)
(5031,15,6,4,16,36,1)
(5032,19,6,2,17,18,1)
(5033,23,7,2,17,37,1)
(5034,12,7,3,18,19,1)
(5035,17,6,2,18,38,1)
(5036,14,6,5,19,20,1)
(5037,20,8,5,19,39,1)
(5038,19,4,3,20,40,1)
(5039,21,8,3,21,22,1)
(5040,18,7,2,21,41,1)
(5041,17,6,2,22,23,1)
(5042,17,5,2,22,42,1)
(5043,15,4,2,23,24,1)
(5044,14,2,2,23,43,1)
(5045,13,3,4,24,25,1)
(5046,13,7,4,24,44,1)
(5047,17,2,1,25,26,1)
(5048,11,7,1,25,45,1)
(5049,15,3,4,26,27,1)
(5050,20,3,2,26,46,1)
(5051,21,2,4,27,28,1)
(5052,22,1,4,27,47,1)
(5053,24,6,4,28,29,1)
(5054,17,1,5,28,48,1)
(5055,20,2,5,29,30,1)
(5056,24,7,5,29,49,1)
(5057,14,8,2,30,31,1)
(5058,13,5,5,30,50,1)
(5059,17,5,5,31,32,1)
(5060,21,2,2,31,51,1)
(5061,15,7,3,32,33,1)
(5062,13,3,5,32,52,1)
(5063,24,2,1,33,34,1)
(5064,24,3,1,33,53,1)
(5065,14,4,1,34,35,1)
(5066,18,4,2,34,54,1)
(5067,17,6,1,35,36,1)
(5068,14,3,1,35,55,1)
(5069,10,4,4,36,37,1)
(5070,17,2,2,36,56,1)
(5071,21,1,2,37,38,1)
(5072,20,8,3,37,57,1)
(5073,22,1,4,38,39,1)
(5074,16,1,3,38,58,1)
(5075,14,8,3,39,40,1)
(5076,12,1,3,39,59,1)
(5077,12,2,3,40,60,1)
(5078,13,4,4,41,42,1)
(5079,15,5,4,41,61,1)
(5080,17,8,2,42,43,1)
