#(id,from,to,speed,planTime)
(10000,84,87,4,8)
(10001,94,36,5,7)
(10002,50,22,4,3)
(10003,91,60,7,4)
(10004,41,27,1,3)
(10005,12,69,6,8)
(10006,83,31,4,3)
(10007,68,36,3,10)
(10008,23,59,8,10)
(10009,94,57,3,2)
(10010,30,74,8,2)
(10011,85,38,5,9)
(10012,16,71,7,4)
(10013,92,81,2,7)
(10014,63,71,2,7)
(10015,6,26,8,5)
(10016,37,6,2,7)
(10017,14,58,8,5)
(10018,83,46,8,5)
(10019,35,65,7,4)
(10020,88,9,3,7)
(10021,89,85,4,4)
(10022,55,100,5,3)
(10023,77,69,5,10)
(10024,27,87,4,5)
(10025,96,71,3,5)
(10026,68,2,7,8)
(10027,18,93,5,3)
(10028,2,81,2,7)
(10029,66,90,4,5)
(10030,41,30,6,2)
(10031,98,72,4,2)
(10032,10,28,1,8)
(10033,98,54,6,7)
(10034,7,84,1,10)
(10035,29,72,6,3)
(10036,4,20,1,1)
(10037,9,16,6,1)
(10038,97,24,6,9)
(10039,47,52,4,2)
(10040,80,89,5,5)
(10041,42,51,5,4)
(10042,35,65,3,5)
(10043,88,57,4,4)
(10044,28,66,1,10)
(10045,33,52,5,8)
(10046,76,8,2,5)
(10047,59,96,6,10)
(10048,36,94,5,9)
(10049,44,12,2,9)
(10050,77,5,4,4)
(10051,14,39,1,7)
(10052,5,19,1,9)
(10053,70,18,5,8)
(10054,25,44,8,1)
(10055,91,100,6,3)
(10056,45,91,4,6)
(10057,55,87,3,10)
(10058,43,65,4,8)
(10059,56,5,4,9)
(10060,23,29,8,10)
(10061,47,69,7,1)
(10062,12,11,2,6)
(10063,62,31,2,9)
(10064,21,37,3,5)
(10065,23,66,1,9)
(10066,83,59,6,5)
(10067,63,25,5,1)
(10068,53,100,7,10)
(10069,69,72,4,4)
(10070,82,31,7,4)
(10071,61,64,6,10)
(10072,100,97,6,10)
(10073,14,69,8,1)
(10074,27,67,5,5)
(10075,91,85,7,7)
(10076,37,8,5,6)
(10077,80,19,5,8)
(10078,49,73,2,10)
(10079,37,11,4,3)
(10080,7,2,5,4)
(10081,22,56,8,10)
(10082,22,5,4,10)
(10083,41,68,5,6)
(10084,28,51,3,5)
(10085,21,25,6,3)
(10086,97,82,5,1)
(10087,93,73,3,3)
(10088,26,86,4,3)
(10089,41,43,2,9)
(10090,99,91,7,5)
(10091,10,82,1,10)
(10092,33,56,5,5)
(10093,80,70,1,4)
(10094,51,56,7,1)
(10095,80,85,6,4)
(10096,22,68,6,5)
(10097,62,55,4,7)
(10098,45,3,3,3)
(10099,85,22,5,3)
(10100,29,90,5,3)
(10101,59,99,1,7)
(10102,54,49,6,4)
(10103,34,49,3,1)
(10104,68,47,2,9)
(10105,1,47,6,9)
(10106,50,91,2,4)
(10107,64,98,5,4)
(10108,87,26,5,3)
(10109,76,89,2,8)
(10110,37,61,2,5)
(10111,61,5,4,9)
(10112,51,49,7,7)
(10113,95,98,4,10)
(10114,40,3,4,9)
(10115,1,82,3,8)
(10116,60,52,7,6)
(10117,40,93,8,6)
(10118,5,30,5,10)
(10119,86,30,8,4)
(10120,78,1,4,9)
(10121,50,90,5,8)
(10122,93,96,1,4)
(10123,30,91,5,3)
(10124,42,70,1,7)
(10125,62,43,6,1)
(10126,24,62,6,2)
(10127,91,26,8,7)
(10128,78,35,3,1)
(10129,25,58,1,5)
(10130,6,59,3,3)
(10131,1,47,3,7)
(10132,17,53,2,9)
(10133,47,91,3,8)
(10134,52,81,2,2)
(10135,58,28,7,3)
(10136,15,56,3,3)
(10137,13,80,2,1)
(10138,90,75,2,6)
(10139,21,34,1,8)
(10140,39,67,5,1)
(10141,57,18,5,7)
(10142,50,38,4,6)
(10143,18,19,8,6)
(10144,74,59,6,4)
(10145,90,84,7,8)
(10146,58,15,2,2)
(10147,1,60,7,9)
(10148,26,89,2,5)
(10149,58,82,7,4)
(10150,71,100,8,8)
(10151,70,64,3,3)
(10152,74,48,7,2)
(10153,83,91,8,3)
(10154,58,16,6,2)
(10155,75,92,8,8)
(10156,32,22,5,8)
(10157,55,31,6,9)
(10158,82,17,3,7)
(10159,32,40,5,7)
(10160,39,81,6,9)
(10161,71,63,4,3)
(10162,78,86,1,7)
(10163,77,84,8,8)
(10164,58,45,8,10)
(10165,28,51,1,7)
(10166,19,6,2,4)
(10167,45,12,7,6)
(10168,92,76,7,6)
(10169,90,69,7,4)
(10170,6,83,7,3)
(10171,18,31,7,4)
(10172,27,94,6,7)
(10173,44,75,2,5)
(10174,80,78,8,3)
(10175,89,20,5,1)
(10176,95,18,4,7)
(10177,38,92,8,4)
(10178,74,29,4,6)
(10179,11,19,5,8)
(10180,64,56,3,1)
(10181,31,5,6,2)
(10182,34,86,2,10)
(10183,5,52,3,6)
(10184,69,4,7,6)
(10185,96,40,1,10)
(10186,68,27,6,4)
(10187,97,82,1,6)
